Date,Time,Dissolved Oxygen,Temperature,pH,Water Level,Turbidity,Salinity
Oct-29-2021,07:46:35,3,0,0,0,0,0

Oct-29-2021,07:46:37,7,0,0,0,0,0

Oct-29-2021,07:46:41,4,0,0,0,0,0

Oct-29-2021,07:46:45,5,0,0,0,0,0

Oct-29-2021,07:46:47,2,0,0,0,0,0

Oct-29-2021,07:46:49,0,0,0,0,0,0

Oct-29-2021,07:46:54,0,0,0,0,0,0

Oct-29-2021,07:46:56,3,0,0,0,0,0

Oct-29-2021,07:46:58,2,0,0,0,0,0

Oct-29-2021,07:47:00,5,0,0,0,0,0

Oct-29-2021,07:47:02,0,0,0,0,0,0

Oct-29-2021,07:47:06,1,0,0,0,0,0

Oct-29-2021,07:47:08,0,0,0,0,0,0

Oct-29-2021,07:47:10,2,0,0,0,0,0

Oct-29-2021,07:47:12,8,0,0,0,0,0

Oct-29-2021,07:47:14,9,0,0,0,0,0

Oct-29-2021,07:47:17,6,0,0,0,0,0

Oct-29-2021,07:47:19,1,0,0,0,0,0

Oct-29-2021,07:47:21,7,0,0,0,0,0

Oct-29-2021,07:47:53,3,0,0,0,0,0

Oct-29-2021,07:47:54,8,0,0,0,0,0

Oct-29-2021,07:47:55,1,0,0,0,0,0

Oct-29-2021,07:47:56,5,0,0,0,0,0

Oct-29-2021,07:47:57,5,0,0,0,0,0

Oct-29-2021,07:47:58,1,0,0,0,0,0

Oct-29-2021,07:47:59,9,0,0,0,0,0

Oct-29-2021,07:48:00,7,0,0,0,0,0

Oct-29-2021,07:48:03,6,0,0,0,0,0

Oct-29-2021,07:48:05,1,0,0,0,0,0

Oct-29-2021,07:48:07,6,0,0,0,0,0

Oct-29-2021,07:48:13,4,0,0,0,0,0

Oct-29-2021,07:48:15,1,0,0,0,0,0

Oct-29-2021,07:48:17,1,0,0,0,0,0

Oct-29-2021,07:48:20,5,0,0,0,0,0

Oct-29-2021,07:48:22,6,0,0,0,0,0

Oct-29-2021,07:48:25,4,0,0,0,0,0

Oct-29-2021,07:48:27,5,0,0,0,0,0

Oct-29-2021,07:48:29,1,0,0,0,0,0

Oct-29-2021,07:48:31,3,0,0,0,0,0

Oct-29-2021,07:48:34,2,0,0,0,0,0

Oct-29-2021,07:49:03,5,0,0,0,0,0

Oct-29-2021,07:49:04,4,0,0,0,0,0

Oct-29-2021,07:49:05,1,0,0,0,0,0

Oct-29-2021,07:49:06,1,0,0,0,0,0

Oct-29-2021,07:49:07,6,0,0,0,0,0

Oct-29-2021,07:49:11,2,0,0,0,0,0

Oct-29-2021,07:49:13,8,0,0,0,0,0

Oct-29-2021,07:49:17,5,0,0,0,0,0

Oct-29-2021,07:49:21,1,0,0,0,0,0

Oct-29-2021,07:49:23,4,0,0,0,0,0

Oct-29-2021,07:49:26,9,0,0,0,0,0

Oct-29-2021,07:49:28,3,0,0,0,0,0

Oct-29-2021,07:49:32,7,0,0,0,0,0

Oct-29-2021,07:49:34,8,0,0,0,0,0

Oct-29-2021,07:49:37,1,0,0,0,0,0

Oct-29-2021,07:49:39,8,0,0,0,0,0

Oct-29-2021,07:49:43,6,0,0,0,0,0

Oct-29-2021,07:49:45,0,0,0,0,0,0

Oct-29-2021,07:49:47,1,0,0,0,0,0

Oct-29-2021,07:49:55,7,0,0,0,0,0

Oct-29-2021,07:50:01,5,0,0,0,0,0

Oct-29-2021,07:50:03,0,0,0,0,0,0

Oct-29-2021,07:50:05,4,0,0,0,0,0

Oct-29-2021,07:50:08,6,0,0,0,0,0

Oct-29-2021,07:50:10,8,0,0,0,0,0

Oct-29-2021,07:50:13,6,0,0,0,0,0

Oct-29-2021,07:50:15,8,0,0,0,0,0

Oct-29-2021,07:50:17,5,0,0,0,0,0

Oct-29-2021,07:50:19,5,0,0,0,0,0

Oct-29-2021,07:50:21,9,0,0,0,0,0

Oct-29-2021,07:50:23,9,0,0,0,0,0

Oct-29-2021,07:50:25,6,0,0,0,0,0

Oct-29-2021,07:50:27,7,0,0,0,0,0

Oct-29-2021,07:50:29,8,0,0,0,0,0

Oct-29-2021,07:50:31,5,0,0,0,0,0

Oct-29-2021,07:50:33,7,0,0,0,0,0

Oct-29-2021,07:50:35,4,0,0,0,0,0

Oct-29-2021,07:50:37,3,0,0,0,0,0

Oct-29-2021,07:50:39,2,0,0,0,0,0

Oct-29-2021,07:50:42,3,0,0,0,0,0

Oct-29-2021,07:50:44,2,0,0,0,0,0

Oct-29-2021,07:50:46,5,0,0,0,0,0

Oct-29-2021,07:50:48,8,0,0,0,0,0

Oct-29-2021,07:50:51,6,0,0,0,0,0

Oct-29-2021,07:50:53,6,0,0,0,0,0

Oct-29-2021,07:50:55,6,0,0,0,0,0

Oct-29-2021,07:50:57,2,0,0,0,0,0

Oct-29-2021,07:50:59,6,0,0,0,0,0

Oct-29-2021,07:51:03,9,0,0,0,0,0

Oct-29-2021,07:51:05,7,0,0,0,0,0

Oct-29-2021,07:51:07,4,0,0,0,0,0

Oct-29-2021,07:51:09,9,0,0,0,0,0

Oct-29-2021,07:51:15,8,0,0,0,0,0

Oct-29-2021,07:51:17,1,0,0,0,0,0

Oct-29-2021,07:51:22,4,0,0,0,0,0

Oct-29-2021,07:51:24,9,0,0,0,0,0

Oct-29-2021,07:51:26,5,0,0,0,0,0

Oct-29-2021,07:51:29,9,0,0,0,0,0

Oct-29-2021,07:51:31,4,0,0,0,0,0

Oct-29-2021,07:51:33,7,0,0,0,0,0

Oct-29-2021,07:51:35,8,0,0,0,0,0

Oct-29-2021,07:51:37,7,0,0,0,0,0

Oct-29-2021,07:51:39,7,0,0,0,0,0

Oct-29-2021,07:51:41,2,0,0,0,0,0

Oct-29-2021,07:51:43,4,0,0,0,0,0

Oct-29-2021,07:51:46,2,0,0,0,0,0

Oct-29-2021,07:51:48,5,0,0,0,0,0

Oct-29-2021,07:51:50,0,0,0,0,0,0

Oct-29-2021,07:51:54,1,0,0,0,0,0

Oct-29-2021,07:51:56,9,0,0,0,0,0

Oct-29-2021,07:51:58,6,0,0,0,0,0

Oct-29-2021,07:52:01,7,0,0,0,0,0

Oct-29-2021,07:52:03,8,0,0,0,0,0

Oct-29-2021,07:52:05,6,0,0,0,0,0

Oct-29-2021,07:52:08,1,0,0,0,0,0

Oct-29-2021,07:52:09,0,0,0,0,0,0

Oct-29-2021,07:52:12,3,0,0,0,0,0

Oct-29-2021,07:52:14,8,0,0,0,0,0

Oct-29-2021,07:52:16,0,0,0,0,0,0

Oct-29-2021,07:52:20,7,0,0,0,0,0

Oct-29-2021,07:52:22,0,0,0,0,0,0

